Voltaje,Corriente
-3.957,-2.6
-3.857,-2.5
-3.757,-2.4
-3.657,-2.35
-3.557,-2.3
-3.457,-2.25
-3.357,-2.2
-3.257,-2.15
-3.157,-2.1
-3.057,-2.05
-2.957,-2
-2.857,-1.9
-2.757,-1.9
-2.657,-1.85
-2.557,-1.8
-2.457,-1.75
-2.357,-1.7
-2.257,-1.65
-2.157,-1.6
-2.057,-1.5
-1.957,-1.5
-1.857,-1.4
-1.757,-1.35
-1.657,-1.3
-1.557,-1.3
-1.457,-1.2
-1.357,-1.1
-1.257,-1.1
-1.157,-1
-1.057,-0.9
-0.957,-0.85
-0.857,-0.75
-0.757,-0.7
-0.657,-0.6
-0.557,-0.55
-0.457,-0.45
-0.357,-0.3
-0.257,-0.11
-0.247,-0.09
-0.237,-0.07
-0.227,-0.05
-0.217,-0.03
-0.211,-0.02
-0.207,-0.01
-0.202,0
-0.197,0.03
-0.187,0.06
-0.177,0.08
-0.167,0.11
-0.157,0.13
-0.057,0.47
0.043,0.94
0.143,1.6
0.243,2.2
0.343,2.7
0.443,3.2
0.543,3.7
0.643,4.15
0.743,4.6
0.843,4.9
0.943,5.2
1.043,5.5
1.143,5.8
1.243,6.1
1.343,6.3
1.443,6.6
1.543,6.8
1.643,7
1.843,7.2
2.043,7.5
2.243,7.9
2.443,8.1
2.643,8.4
2.843,8.7
3.043,8.9
3.243,9.1
3.443,9.3
3.643,9.5
3.843,9.6
4.043,9.8
