Longitud de Onda,Corriente 
175,0.2
180,0.3
185,0.3
190,0.3
195,0.3
200,0.3
205,0.3
210,0.3
215,0.3
220,0.3
225,0.3
230,0.3
235,0.3
305,0.3
310,0.3
315,0.3
320,0.3
325,0.3
330,0.4
335,0.4
340,0.5
345,0.7
350,1.1
355,1.5
360,1.8
365,1.9
370,2
371,2
372,2
373,2
375,1.9
377,1.8
379,1.7
380,1.6
385,1.2
390,1.4
392,1.5
394,1.7
396,1.9
398,2
400,2.1
402,2.2
403,2.2
404,2
406,2.3
407,2.3
408,2.3
409,2.3
410,2.3
411,2.4
412,2.4
413,2.5
414,2.6
415,2.7
416,2.8
417,3
418,3.2
419,3.3
420,3.5
421,3.7
422,3.9
423,4
424,4.2
425,4.3
426,4.3
427,4.5
428,4.5
429,4.6
430,4.6
431,4.7
432,4.7
433,4.8
435,4.9
436,5
437,5
438,5
439,5
440,4.9
441,4.8
442,4.6
443,4.4
444,4.2
445,3.9
446,3.6
447,3.4
448,3.1
449,2.9
450,2.7
451,2.5
452,2.2
453,2
454,1.7
455,1.4
456,1.2
457,1
458,0.9
459,0.9
460,0.8
465,0.8
470,0.8
475,0.8
480,0.8
490,0.8
495,0.7
500,0.7
505,0.7
510,0.7
520,0.7
525,1.2
526,1.4
527,1.6
528,1.9
529,2.2
530,2.4
531,2.8
532,3.1
533,3.5
534,3.9
535,4.3
536,4.6
537,4.9
538,5.1
539,5.3
540,5.5
541,5.7
542,5.9
543,6
544,6.1
545,6.1
546,6.2
547,6.3
548,6.4
549,6.4
550,6.5
551,6.5
552,6.5
553,6.4
554,6.2
555,6
556,5.7
557,5.3
558,4.9
559,4.6
560,4.3
561,4
562,3.7
563,3.4
564,3.2
565,3
566,2.9
567,2.9
568,2.9
569,3
570,3.1
571,3.2
572,3.3
573,3.4
574,3.4
575,3.5
576,3.6
577,3.6
578,3.7
579,3.7
580,3.7
581,3.8
582,3.8
583,3.8
584,3.7
585,3.6
586,3.4
587,3.2
588,3
589,2.8
590,2.6
591,2.5
592,2.2
593,2
594,1.8
595,1.5
596,1.2
597,1
598,0.8
599,0.7
600,0.6
605,0.5
610,0.5
615,0.5
620,0.4
625,0.4
630,0.4
635,0.4
640,0.4
690,0.4
715,0.5
720,0.9
721,1
722,1.1
723,1.2
724,1.3
725,1.3
726,1.4
727,1.5
728,1.5
729,1.5
730,1.6
731,1.6
732,1.6
733,1.6
734,1.7
735,1.7
736,1.7
737,1.7
738,1.7
739,1.6
740,1.6
745,1
747,0.8
749,0.8
750,0.6
755,0.4
760,0.4
765,0.4
770,0.4
800,0.5
805,0.8
810,0.9
815,1
820,1
825,0.7
830,0.5
835,0.4
865,0.8
870,1.1
875,1.4
880,1.5
885,1.2
890,0.7
895,0.4
900,0.4
